Date,Open,High,Low,Close,Adj Close,Volume
2007-01-10,66.559998,66.559998,66.070000,66.150002,41.526592,6528700
2007-01-11,66.400002,66.839996,66.279999,66.730003,41.890694,6371500
2007-01-12,66.449997,66.800003,66.300003,66.639999,41.834175,6189400
2007-01-16,66.650002,66.750000,66.300003,66.540001,41.771404,7963700
2007-01-17,66.599998,67.379997,66.419998,66.870003,41.978573,9189900
2007-01-18,66.459999,67.989998,66.300003,67.709999,42.505882,10695600
2007-01-19,68.000000,68.220001,67.529999,67.760002,42.537281,13473300
2007-01-22,68.000000,68.110001,67.169998,67.180000,42.173168,10245500
2007-01-23,66.989998,67.239998,66.129997,66.500000,41.746292,9698300
2007-01-24,66.410004,67.089996,66.300003,67.010002,42.066475,7665500
2007-01-25,66.809998,67.040001,66.500000,66.680000,41.859306,7727900
2007-01-26,66.680000,66.870003,65.989998,66.070000,41.476364,10773000
2007-01-29,66.250000,66.400002,66.000000,66.150002,41.526592,8152700
2007-01-30,66.150002,66.599998,66.099998,66.389999,41.677250,7171900
2007-01-31,66.389999,67.019997,66.150002,66.800003,41.934628,8171600
2007-02-01,66.800003,67.070000,66.500000,67.010002,42.066475,9232500
2007-02-02,67.000000,67.150002,66.489998,66.580002,41.796516,11317500
2007-02-05,66.379997,66.599998,66.099998,66.300003,41.620728,7526200
2007-02-06,66.389999,66.430000,65.790001,66.000000,41.432419,8180100
2007-02-07,66.000000,66.099998,65.650002,65.800003,41.306847,7795300
2007-02-08,65.760002,65.970001,65.599998,65.760002,41.281754,7340100
2007-02-09,65.860001,66.099998,65.529999,65.599998,41.181320,7107600
2007-02-12,65.720001,65.870003,65.360001,65.459999,41.093407,6067300
2007-02-13,65.410004,65.519997,65.279999,65.379997,41.043201,8583600
2007-02-14,65.559998,65.900002,65.400002,65.849998,41.338249,7254900
2007-02-15,65.750000,65.930000,65.589996,65.790001,41.300583,7350800
2007-02-16,65.650002,65.739998,65.239998,65.510002,41.124813,12927000
2007-02-20,65.400002,65.830002,65.260002,65.459999,41.093407,9384300
2007-02-21,65.260002,65.400002,64.959999,65.000000,40.804649,12036200
2007-02-22,64.970001,65.070000,64.650002,64.779999,40.666542,12930900
2007-02-23,64.610001,64.610001,63.990002,64.150002,40.505531,11586300
2007-02-26,64.250000,64.489998,64.010002,64.300003,40.600235,10483200
2007-02-27,64.000000,64.239998,62.720001,63.049999,39.810970,18581000
2007-02-28,63.270000,63.720001,62.820000,62.930000,39.735191,16690600
2007-03-01,62.349998,62.930000,61.750000,62.450001,39.432125,14589700
